number,title,detail_url,dozierende
871-0242-06L,Kognitiv aktivierender Unterricht in den MINT-Fächern,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193024&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Schumacher
871-0229-00L,Ausserschulische Lernorte nutzen,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192961&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Schumacher, P. Faller"
871-0242-07L,Menschliche Intelligenz,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193343&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Stern
871-0227-00L,Grundlagen der Wissenschaftstheorie für den naturwissenschaftlichen Unterricht,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192535&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Schumacher
871-0240-27L,Betreuung und Bewertung von Maturaarbeiten,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194390&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Maue
376-1309-00L,"The Social Brain: Critical Perspectives on Science, Society and Neurodiversity",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194652&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Ramsey
871-0226-00L,Effective Teaching with Visualizations,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194884&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Rau, I. Paksoy"
851-0453-00L,Artificial Intelligence and Human Values,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194435&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Boenig-Liptsin, K. Wodajo"
376-1791-00L,Introductory Course in Neuroscience I (University of Zurich),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192894&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,W. Knecht
151-0927-00L,Rate-Controlled Separations in Fine Chemistry,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193466&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Bosetti, N. Casas, F. Kiefer"
401-0649-00L,Applied Statistical Regression,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193632&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Dettling
376-1581-00L,"Krebs: Grundlagen, Ursachen und Therapie",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194138&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,H. Nägeli
401-5640-00L,ZüKoSt: Seminar on Applied Statistics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193327&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Kalisch, F. Balabdaoui, P. L. Bühlmann, Y. Chen, R. Furrer, L. Held, T. Hothorn, J. B. H. Koh, L. Meier, J. Peters, M. Robinson, F. Sigrist, A. Sousa Bandeira, C. Strobl, J. Ziegel"
551-1109-00L,Seminars in Microbiology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194353&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"S. Sunagawa, W.‑D. Hardt, M. Künzler, J. Piel, J. Vorholt-Zambelli"
401-0620-00L,Statistischer Beratungsdienst,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192880&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Kalisch, L. Meier"
701-1401-00L,Zürich Ecology and Evolution Interaction Seminar,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193068&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Hall
551-0509-00L,Current Immunological Research in Zurich,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192685&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. Spörri, C. Halin Winter, W.‑D. Hardt, S. R. Leibundgut, A. Oxenius"
551-1106-00L,Progress Reports in Microbiology and Immunology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194533&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"J. Piel, W.‑D. Hardt, A. Oxenius, J. Vorholt-Zambelli"
