number,title,detail_url,dozierende
101-0509-00L,Maintenance Planning,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194213&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. T. Adey, Y. An, S. Y.‑P. Chuo"
101-0577-00L,An Introduction to Sustainable Development in the Built Environment,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193374&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"G. Habert, A. Komkova"
101-0317-00L,Underground Construction I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194378&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Cantieni, J. Leuthold, A. Nordas"
101-0357-00L,Theoretical and Experimental Soil Mechanics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193296&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Anastasopoulos, R. Herzog, A. Marin, M. Schneider, M. Sieber"
101-0307-00L,Design and Construction in Geotechnical Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194023&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Anastasopoulos, A. Agalianos, A. Marin"
101-0369-00L,Forensic Geotechnical Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192507&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Puzrin
101-0328-00L,Granular Mechanics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192777&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,J. Gaume
101-0117-00L,Theory of Structures III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192862&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,B. Stojadinovic
101-0127-00L,Advanced Structural Concrete,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193900&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"W. Kaufmann, S. Häfliger"
101-0137-00L,Steel Structures III: Advanced Steel and Composite Structures,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193734&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Taras
101-0187-00L,Structural Reliability and Risk Analysis,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193344&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,S. Marelli
101-0157-01L,Structural Dynamics and Vibration Problems,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192485&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"V. Ntertimanis, K. Tatsis"
101-0167-01L,Fibre Composite Materials in Structural Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193094&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Motavalli
101-0637-01L,Timber Structures I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192992&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Frangi, I. Burgert, M. P. Felicita"
101-0617-02L,Computational Science Investigation for Material Mechanics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193006&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"D. Kammer, F. Wittel"
101-0427-01L,Public Transport Design and Operations,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193238&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,F. Corman
101-0437-00L,Traffic Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193546&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Kouvelas
101-0417-00L,Transport Planning Methods,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193646&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Heinen
401-0647-00L,Introduction to Mathematical Optimization,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193704&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,D. Adjiashvili
103-0317-00L,Spatial Planning and Development,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194151&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"D. Kaufmann, A. Kuitenbrouwer, C. Sinatra"
151-0227-00L,Basics of Air Transport (Aviation I),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192707&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Wild
227-0523-00L,Eisenbahn-Systemtechnik I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194401&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Meyer
101-0509-00L,Maintenance Planning,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194213&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"B. T. Adey, Y. An, S. Y.‑P. Chuo"
363-1047-00L,Urban Systems and Transportation,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193460&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Köthenbürger, G. Loumeau"
101-0247-01L,Hydraulic Engineering II,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193760&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,R. Boes
101-0267-01L,Numerical Hydraulics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193020&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"E. Secchi, D. F. Vetsch"
101-0258-00L,River Engineering,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193078&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"V. Weitbrecht, I. Schalko, K. Sperger"
102-0468-10L,Watershed Modelling,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193828&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,P. Molnar
101-0250-00L,Solving Partial Differential Equations in Parallel on GPUs I,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193496&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. Utkin, S. Omlin, L. Räss, M. Werder"
101-0677-00L,Concrete Technology,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192869&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Nägele, G. Martinola, T. Wangler"
101-0617-01L,Advances in Building Materials,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193039&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"R. J. Flatt, I. Burgert"
101-0617-02L,Computational Science Investigation for Material Mechanics,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193006&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"D. Kammer, F. Wittel"
101-0608-00L,Design-Integrated Life Cycle Assessment,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193048&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"G. Habert, F. Belizario Silva"
101-0577-00L,An Introduction to Sustainable Development in the Built Environment,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193374&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"G. Habert, A. Komkova"
101-0527-10L,Materials and Constructions,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193850&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"G. Habert, D. M. L. Ardant"
101-0531-00L,Digital Creativity for Circular Construction,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=194830&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,C. De Wolf
101-0532-00L,Future-ready Construction and Infrastructure,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195938&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. De Wolf, C. Martani"
101-0329-00L,Underground Construction III,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=192939&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"L. Cantieni, J. Leuthold, A. Nordas, M. Ramoni"
101-0339-00L,Environmental Geotechnics – Polluted Sites and Waste Disposal,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193500&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Plötze
101-0367-00L,Geotechnical Engineering in Transportation and Pavement Design,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=193018&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,D. Hauswirth
