number,title,detail_url,dozierende
052-1123-25L,Architectural Design V-IX: Climate Echoes: Prime Tower Site (T. Rapelli),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195415&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Rapelli
052-1125-25L,Entwurf V-IX: Kalk  (E.Mosayebi),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195416&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,E. Mosayebi
052-1129-25L,Architectural Design V-IX: Delos (GD I. Sklavounos),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195417&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,I. I. Sklavounos
052-1131-25L,Architectural Design V-IX: Palais  (A.Fonteyne),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195418&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Fonteyne
052-1133-25L,Architectural Design V - IX: Amalgam (C. Schneider / M. Türtscher),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195419&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"M. Türtscher, C. Schneider"
052-1137-25L,Architectural Design V-IX: Living Together  (M.Conen),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195458&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Conen
052-1139-25L,Architectural Design V-IX:  Festspiele - Reimagining Performative City Spaces  (H.Klumpner),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195459&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,H. Klumpner
052-1141-25L,Architectural Design V-IX: The Pleasure in Small Things  (A.Caruso),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195460&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Caruso
052-1143-25L,Architectural Design V-IX: Exforma  (GD C. Ferrando Costansa / P. Garrido Arnaiz),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195461&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. Ferrando Costansa, P. Garrido Arnaiz"
052-1145-25L,"Architectural Design V-IX: Hong Kong: 22.39 N, 114.1 E (F. Charbonnet / P. Heiz)",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195462&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Charbonnet, P. Heiz"
052-1147-25L,Architectural Design V-IX:The Production of Cloud (M. Topalovic),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195463&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Topalovic
052-1153-25L,Architectural Design V-IX: Public House  (A.Puigjaner),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195464&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,A. Puigjaner
052-1111-25L,"Architectural Design V-IX: Stone, Wood, Soil (GD F. Kobayashi / K. Morita / J. Sanada)",https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195409&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"F. Kobayashi, K. Morita, J. Sanada"
052-1115-25L,Architectural Desing V - IX: The Understory (T. Emerson),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=196438&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Emerson
052-0923-25L,Entwurf V-IX: Wertvolle Räume – Entwerfen im Baudenkmal (GD S. Bischof/ N. Föhn),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195402&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"N. Föhn, S. Bischof, S. Langenberg"
052-1181-25L,Architectural Design V-IX: Wallness - Towards new transparencies (GD T. Barrault / C. Pressacco),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=197259&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"C. Pressacco, T.  Barrault"
052-1185-25L,Architectural Design V - IX: Meteora #13 (L. Hovestadt),https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=197418&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,L. Hovestadt
052-0507-25L,Sprache finden für den Wandel,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195318&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,M. Kupferschmid
052-0511-25L,Planungsstrategien für komplexe Gebäude am Beispiel Gesundheitsbauten,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195319&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,T. Guthknecht
052-0521-25L,3D Scanning and Freeform Modeling,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195338&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0527-25L,BUK Re-Detailing,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195340&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,
052-0533-25L,Neue konstruktive Orte - Mauerwerk,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195342&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"I. von Meiss-Leuthold, D. Mettler, D. Studer"
052-0535-25L,Model and Design,https://www.vvz.ethz.ch/Vorlesungsverzeichnis/lerneinheit.view?lerneinheitId=195343&semkez=2025W&ansicht=LEHRVERANSTALTUNGEN&lang=de,"A. Tellini, C. Egli"
